interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
900,905,1,0,23.85,5,0,1,4,4,3,3.17,66.8,153.29,19.3,66.61,0
900,905,1,3,32.77,4,2,10,4,4,1,4.36,100.58,307.61,18.7,100.35,0
900,905,1,0,189.2,0,1,11,0,0,4,12.42,247.18,143.62,0.63,290.7,114
900,905,1,0,2.27,0,1,12,0,0,0,0.27,36.99,4.25,10.22,36.6,0
900,905,1,1,10.6,0,0,13,0,0,0,1.41,63.04,64.7,19.43,62.82,0
900,905,1,0,15.58,4,0,14,2,2,1,3.11,96.74,144.28,19.18,96.52,0
900,905,1,0,51.23,0,1,15,0,0,0,4.07,52.6,74.08,5.57,51.71,45
900,905,1,0,20.35,0,2,16,1,1,0,4.06,84.82,161.77,18.8,84.61,0
900,905,1,0,13.16,4,0,17,3,3,2,1.73,43.65,55.77,19.51,43.43,0
900,905,1,0,44.45,0,2,18,1,1,0,3.53,61.28,63.08,4.7,60.45,30
900,905,1,0,24.7,0,3,19,2,2,0,4.8,18.06,34.89,15.87,17.8,0
900,905,1,0,143.08,0,2,2,3,3,5,9.43,168.51,203.27,1.71,172.09,152
900,905,1,2,7.68,0,0,20,0,0,0,1.53,98.95,71.83,18.94,98.78,0
900,905,1,0,2.95,3,0,21,0,0,0,0.58,165.97,29,11.85,165.63,0
900,905,1,0,14.41,0,0,22,0,0,0,2.88,100000,15,0,100000,15
900,905,1,0,1.59,0,1,23,0,0,0,0.47,25.87,1.4,6.96,25.29,0
900,905,1,0,1.82,0,0,24,0,0,0,0.36,57.41,5,9.64,56.99,0
900,905,1,0,3.64,3,0,25,0,0,0,0.7,32.85,10,16.84,32.61,0
900,905,1,0,11.31,0,0,26,0,0,0,2.26,382.92,10,0.47,374.45,6
900,905,1,0,,0,0,27,0,0,0,,,0,,,
900,905,1,0,0.51,0,0,28,0,0,0,0.1,173.43,5,11.35,173.08,0
900,905,1,0,11.75,0,1,3,3,3,2,1.55,35.02,38.79,18.96,34.81,0
900,905,1,0,33.12,2,2,4,5,5,3,4.4,62.87,200.89,19.36,62.61,0
900,905,1,0,60.28,0,2,5,0,0,5,4.69,12.32,46.94,12.97,11.87,0
900,905,1,0,15.7,0,4,6,0,0,1,1.99,5.99,8.68,19.12,5.79,0
900,905,1,2,39.65,0,1,7,2,2,0,5.28,36.57,136.7,18.96,36.36,0
900,905,1,0,16.89,5,0,8,2,2,1,2.23,31.94,53.71,20.04,31.75,0
900,905,1,0,18.88,0,1,9,0,0,3,1.84,8.26,16.21,21.25,8.07,0
905,910,1,0,24.14,2,0,1,2,2,2,3.21,67.04,155.15,19.23,66.83,0
905,910,1,3,32.64,2,2,10,6,6,2,4.34,99.12,306.35,18.98,98.86,0
905,910,1,0,155.75,0,2,11,0,0,7,10.19,64.59,118.23,2.41,67.47,58
905,910,1,0,9.16,0,6,12,0,0,0,1.16,21.88,17.13,17.28,21.65,0
905,910,1,2,8.7,0,0,13,0,0,0,1.15,62.37,53.09,19.64,62.13,0
905,910,1,0,16.08,1,0,14,3,3,1,3.21,97.28,148.86,19.08,97.08,0
905,910,1,0,54.56,0,1,15,1,1,0,4.36,53.6,78.9,5.47,52.87,52
905,910,1,0,21.58,0,2,16,1,1,0,4.3,84.98,171.57,18.76,84.76,0
905,910,1,0,12.35,0,0,17,6,6,1,1.64,43.91,52.36,19.4,43.71,0
905,910,1,0,51,0,1,18,0,0,0,4.07,63.2,72.38,4.55,62.33,24
905,910,1,0,27.63,0,1,19,1,1,2,5.45,17.86,39.04,16.05,17.64,0
905,910,1,0,128.82,0,3,2,1,1,8,8.48,78.26,183.01,3.68,79.06,87
905,910,1,0,7.43,0,2,20,0,0,0,1.48,98.87,69.42,18.95,98.66,0
905,910,1,0,3.56,0,0,21,0,0,0,0.71,166.87,35,11.79,166.54,0
905,910,1,0,14.41,0,0,22,0,0,0,2.88,100000,15,0,,15
905,910,1,0,5.68,0,0,23,0,0,0,2.27,17.35,5,10.37,16.97,0
905,910,1,0,1.82,0,0,24,0,0,0,0.36,57.22,5,9.67,56.8,0
905,910,1,0,5.46,0,0,25,0,0,0,1.09,31.78,15,17.41,31.55,0
905,910,1,0,11.31,0,0,26,0,0,0,2.26,38135.42,10,0,37291.67,10
905,910,1,0,,0,0,27,0,0,0,,,0,,,
905,910,1,0,0.51,0,0,28,0,0,0,0.1,174.67,5,11.27,174.32,0
905,910,1,0,12.63,0,6,3,0,0,3,1.64,34.65,41.68,19.16,34.45,0
905,910,1,0,35.54,4,3,4,2,2,0,4.72,62.32,215.55,19.53,62.12,0
905,910,1,0,46.01,0,1,5,1,1,2,3.64,11.94,35.83,13.37,11.64,0
905,910,1,0,41.89,0,2,6,0,0,2,5.45,5.99,23.15,19.13,5.78,0
905,910,1,2,37.68,0,2,7,0,0,0,5.01,36.52,129.91,18.99,36.32,0
905,910,1,0,21.7,2,0,8,1,1,0,2.88,31.55,69,20.28,31.36,0
905,910,1,0,9.15,0,0,9,0,0,1,0.9,8.34,7.85,21.06,8.16,0
