,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0,900.0,905.0,1.0,0.0,23.85,5.0,0.0,1.0,4.0,4.0,3.0,3.17,66.8,153.29,19.3,66.61,0.0
3,900.0,905.0,1.0,0.0,2.27,0.0,1.0,12.0,0.0,0.0,0.0,0.27,36.99,4.25,10.22,36.6,0.0
4,900.0,905.0,1.0,1.0,10.6,0.0,0.0,13.0,0.0,0.0,0.0,1.41,63.04,64.7,19.43,62.82,0.0
5,900.0,905.0,1.0,0.0,15.58,4.0,0.0,14.0,2.0,2.0,1.0,3.11,96.74,144.28,19.18,96.52,0.0
6,900.0,905.0,1.0,0.0,51.23,0.0,1.0,15.0,0.0,0.0,0.0,4.07,52.6,74.08,5.57,51.71,45.0
7,900.0,905.0,1.0,0.0,20.35,0.0,2.0,16.0,1.0,1.0,0.0,4.06,84.82,161.77,18.8,84.61,0.0
8,900.0,905.0,1.0,0.0,13.16,4.0,0.0,17.0,3.0,3.0,2.0,1.73,43.65,55.77,19.51,43.43,0.0
9,900.0,905.0,1.0,0.0,44.45,0.0,2.0,18.0,1.0,1.0,0.0,3.53,61.28,63.08,4.7,60.45,30.0
10,900.0,905.0,1.0,0.0,24.7,0.0,3.0,19.0,2.0,2.0,0.0,4.8,18.06,34.89,15.87,17.8,0.0
11,900.0,905.0,1.0,0.0,143.08,0.0,2.0,2.0,3.0,3.0,5.0,9.43,168.51,203.27,1.71,172.09,152.0
12,900.0,905.0,1.0,2.0,7.68,0.0,0.0,20.0,0.0,0.0,0.0,1.53,98.95,71.83,18.94,98.78,0.0
13,900.0,905.0,1.0,0.0,2.95,3.0,0.0,21.0,0.0,0.0,0.0,0.58,165.97,29.0,11.85,165.63,0.0
15,900.0,905.0,1.0,0.0,1.59,0.0,1.0,23.0,0.0,0.0,0.0,0.47,25.87,1.4,6.96,25.29,0.0
16,900.0,905.0,1.0,0.0,1.82,0.0,0.0,24.0,0.0,0.0,0.0,0.36,57.41,5.0,9.64,56.99,0.0
17,900.0,905.0,1.0,0.0,3.64,3.0,0.0,25.0,0.0,0.0,0.0,0.7,32.85,10.0,16.84,32.61,0.0
19,900.0,905.0,1.0,0.0,1.3066666666666666,0.0,0.0,27.0,0.0,0.0,0.0,0.31,85.57000000000001,0.0,9.316666666666666,85.12,0.0
20,900.0,905.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,173.43,5.0,11.35,173.08,0.0
21,900.0,905.0,1.0,0.0,11.75,0.0,1.0,3.0,3.0,3.0,2.0,1.55,35.02,38.79,18.96,34.81,0.0
22,900.0,905.0,1.0,0.0,33.12,2.0,2.0,4.0,5.0,5.0,3.0,4.4,62.87,200.89,19.36,62.61,0.0
23,900.0,905.0,1.0,0.0,60.28,0.0,2.0,5.0,0.0,0.0,5.0,4.69,12.32,46.94,12.97,11.87,0.0
24,900.0,905.0,1.0,0.0,15.7,0.0,4.0,6.0,0.0,0.0,1.0,1.99,5.99,8.68,19.12,5.79,0.0
25,900.0,905.0,1.0,2.0,39.65,0.0,1.0,7.0,2.0,2.0,0.0,5.28,36.57,136.7,18.96,36.36,0.0
26,900.0,905.0,1.0,0.0,16.89,5.0,0.0,8.0,2.0,2.0,1.0,2.23,31.94,53.71,20.04,31.75,0.0
27,900.0,905.0,1.0,0.0,18.88,0.0,1.0,9.0,0.0,0.0,3.0,1.84,8.26,16.21,21.25,8.07,0.0
28,905.0,910.0,1.0,0.0,24.14,2.0,0.0,1.0,2.0,2.0,2.0,3.21,67.04,155.15,19.23,66.83,0.0
31,905.0,910.0,1.0,0.0,9.16,0.0,6.0,12.0,0.0,0.0,0.0,1.16,21.88,17.13,17.28,21.65,0.0
32,905.0,910.0,1.0,2.0,8.7,0.0,0.0,13.0,0.0,0.0,0.0,1.15,62.37,53.09,19.64,62.13,0.0
33,905.0,910.0,1.0,0.0,16.08,1.0,0.0,14.0,3.0,3.0,1.0,3.21,97.28,148.86,19.08,97.08,0.0
34,905.0,910.0,1.0,0.0,54.56,0.0,1.0,15.0,1.0,1.0,0.0,4.36,53.6,78.9,5.47,52.87,52.0
